trait,disc.trait,alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4,simmap
stemarea,app,3.6083897574997,0.0180352668949233,0.373536339631944,NA,1.18014064677998e-09,1.18014064677998e-09,1.18014064677998e-09,NA,-0.23294196601046,-1.49143606397724e-17,-9.0513350279407e-14,NA,1
stemarea,app,1.30874141900751,1.48296616109191,2.24536085323779e-09,NA,3.16325891007565,3.16325891002096,3.1632589099994,NA,-1.53488088811399,2.7392782257294,-1.20479404781743e-13,NA,2
stemarea,app,0.172003593740282,0.114634198391645,0.000267975060186598,NA,0.873354918907774,1.15855844772311,1e-09,NA,-1.57270459262526,3.55532317983995,-17734289.8408859,NA,3
stemarea,app,3.46866342249755,0.00702708223960889,2.88461895393791e-08,NA,0.28275617326064,0.168294645079498,1.24796668687721e-09,NA,-1.01571891979734,0,0,NA,4
stemarea,app,0.109730493963552,0.0792698365655851,0.00827866350369517,NA,0.636074628042666,0.647404118404106,1e-09,NA,-1.46710649821614,5.41490220940988,16342903.7610898,NA,5
stemarea,app,4.2538487585189,0.00155315211891102,0.0368299634103783,NA,0.326854573357189,0.326854573357189,0.326854573357189,NA,-2.86239395249692,0,0,NA,6
stemarea,app,0.0706018314240039,0.0695394042869869,0.0663537111677974,NA,0.465335115904135,0.414204316246698,0.269219038698438,NA,-1.55166199109605,5.2435192846619,-0.683230693228923,NA,7
stemarea,app,0.105555769793261,0.040764313690897,0.000344570721695497,NA,0.678933071077487,0.88910869024769,0.0564287299278138,NA,-1.1044859116594,9.82043526582284,-0.00953209577935127,NA,8
stemarea,app,0.350183465892388,0.302072355987087,2.81106249109487e-06,NA,1.38110624206693,1.89074616418844,1.00000000001858e-09,NA,-1.35749017447055,2.72636705193288,-16267431.5894856,NA,9
stemarea,app,2.71965271415997,0.000804369073288011,0.0102635668076505,NA,1.06114281015454e-07,1.06114281015454e-07,1.06114281015454e-07,NA,-2.50403218855565,0,0,NA,10
stemarea,app,3.04920617413673,0.000758124925206173,5.40893237674492e-09,NA,0.202854906054686,0.310935332444448,1.39859955239208e-09,NA,-1.71844035298583,0,0,NA,11
stemarea,app,0.0694001342999215,0.0632726242721859,0.0524061756087892,NA,0.631812990362922,0.354032597495504,0.0953696771140358,NA,-1.22634525568481,7.67163161863844,793179.744535734,NA,12
stemarea,app,2.92325326773108,1.09721841734594e-07,0.109303148259181,NA,2.03821832035984e-05,2.03821832035984e-05,2.03821832035984e-05,NA,-3.10295349060953,1.72678085984459e-18,6.81237970243389e-14,NA,13
stemarea,app,0.799726996655393,0.849364912435744,1.12555239230217e-09,NA,2.10764957563857,0.557819188427316,1.02949925790952e-09,NA,-1.40448065464504,2.55477589299676,-4.82730561274715e-13,NA,14
stemarea,app,0.0763359061635233,0.0330016633288179,0.0192960339566111,NA,0.51442487282526,0.648833369105639,0.0323978344820514,NA,-1.08322576937684,23.0638468944044,-5332021.6680377,NA,15
stemarea,app,3.88734632481359,7.71332134020071e-07,2.87191157508823e-08,NA,0.34098327582969,0.340090185601662,1.53788748442513e-09,NA,-2.82607738687004,0,0,NA,16
stemarea,app,0.0692653689430792,0.0671025642386538,0.0662838320506871,NA,0.58101571339218,0.313161307224381,0.0063617322282013,NA,-1.56358329035024,6.79691198817788,11191.0478309954,NA,17
stemarea,app,0.0966011303784176,0.0672139702948751,0.00257434361594097,NA,0.635696712234381,0.649235887686495,1e-09,NA,-1.46368199518355,5.72787876866595,6272663.08787249,NA,18
stemarea,app,2.81503155611744,1.61897452233897e-07,0.00582971800907505,NA,1.39199228651371e-09,1.39199228651371e-09,1.39199228651371e-09,NA,-3.09478227596346,0,0,NA,19
stemarea,app,0.0742313908879357,0.066436106853335,0.032207697667909,NA,0.518245684883834,0.457779186021566,0.0473850479596868,NA,-1.25719133589899,5.98027601511205,-867593.03093685,NA,20
stemarea,app,4.33090531921333,0.0276940921185437,8.46285122772002e-09,NA,0.392924601322769,0.342858916946663,1.20331040178379e-09,NA,-2.86239420129208,0,0,NA,21
stemarea,app,0.0799666470162167,0.0546834113086194,0.0121873559401437,NA,0.526704724203216,0.507427288758898,1.00000000000044e-09,NA,-1.92054573520136,5.68924562195711,6896619.37544783,NA,22
stemarea,app,0.078877019423051,0.0857943794657051,0.0516088151352692,NA,0.620291682064174,0.416103061651771,0.0613890524718897,NA,-1.29841379629625,5.25010640009561,4499646.1275723,NA,23
stemarea,app,0.0831049719397692,0.0761657609561626,0.0381290777710717,NA,0.507121400997396,0.463430188470903,0.314109963428949,NA,-1.17640945926686,6.06380728870018,-0.89967155896452,NA,24
stemarea,app,0.0974005065130114,0.0475679585167762,0.00315610070791148,NA,0.712157423971524,0.784348108465855,1e-09,NA,-1.27660791226633,9.71696132783533,12245742.3231991,NA,25
stemarea,app,0.0625893053713366,0.0829889307245819,0.0297635494386541,NA,0.513832940741512,0.498161547462733,0.0541344229580317,NA,-1.20223988829133,3.63736439935646,6175731.52251629,NA,26
