alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4,trait,simmap,tree,disc.trait
1.42217450362562,1.4198547647495,1.42017462475615,1.41402452290182,0.828520983790848,0.289515125644169,0.309484098005556,0.0388058499001114,0.138228803313812,-0.00433240537178854,-0.0429231738083881,0.00113020443476785,stemarea,1,1,app
3.31910962149769,3.31824258759696,3.3175501827572,3.31268284514891,1.43810131845404,1.12633050566682,1.13600156960663,0.961610759666559,0.112557513881434,-0.0181805215176391,-0.00784212494447636,0.00834830241579403,stemarea,2,1,app
1.01894287217179,1.00884737951588,1.01194177013138,0.969852061902703,0.58375312564806,0.239548431590969,0.214474217064775,0.0602201702547086,0.136195033917763,-0.0313869561394048,-0.0372657759507442,0.00115730635961262,stemarea,3,1,app
1.00818627885444,1.005426441743,1.0056671334644,0.998287467403104,0.581343414584763,0.212131631972595,0.232099518884055,0.0444168455399922,0.14031266864998,0.00144024497679207,-0.0429581209182577,0.00141058842973761,stemarea,4,1,app
1.39466533539376,1.38970751272066,1.39022272169733,1.37519569082613,0.791714360357546,0.2937551001654,0.315022210564984,0.0520751598030783,0.142611182775787,-0.028928143333528,-0.0445016439052351,0.00122211242670767,stemarea,5,1,app
0.966575058855713,0.96488714838995,0.965075488958582,0.958846259914011,0.554243533842496,0.218626962590694,0.200607617215894,0.0448663046111572,0.139883336453909,-0.0355231296574657,-0.0254414098656793,0.00135992185401382,stemarea,6,1,app
1.03792426826982,1.02928874397262,1.02596400551351,0.973299857711813,0.597137216372437,0.237200947172809,0.256966247784651,0.0723237012679821,0.140588799119485,-0.0068903436290012,-0.0399019518868666,0.00114262017048602,stemarea,7,1,app
0.92652825648994,0.908983963620993,0.910135219888061,0.848315516453907,0.515412900537559,0.234262530873577,0.205227640014523,0.0715869051552751,0.137179775490656,-0.030969127555831,-0.0605432064653081,0.000995784261684222,stemarea,8,1,app
1.21488036306591,1.20316010852248,1.20584281370392,1.16689875094383,0.644968994830294,0.296721405906329,0.323427434562667,0.15256482048797,0.128962261833087,0.00331841013899675,-0.0398624958187922,0.00124781624903076,stemarea,9,1,app
1.21638388146448,1.21395794586294,1.2147603085874,1.20679138428181,0.687004841162008,0.273870512532006,0.25023459724362,0.0470801285942295,0.137052342748317,-0.0422114235937691,-0.026946698468135,0.00143228757087507,stemarea,10,1,app
