trait,disc.trait,alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4,simmap
stemarea,app,0.294645206330711,0.178165500280106,3.44575889844518e-06,NA,1.34642296340346,4.09827434010683,1.00000000000001e-09,NA,-1.58547548516303,4.11506313019728,8369718.72323962,NA,1
stemarea,app,0.0475390492074388,0.0330283638627425,0.0263717369363043,NA,0.45803746524289,0.428450147838395,0.00101732964365657,NA,-1.38150619126338,11.8260360490446,2968485.46372227,NA,2
stemarea,app,0.0543029510035763,0.0563827378027648,0.0133989706544811,NA,0.510072235148233,0.241455539557585,0.00120981149459027,NA,-1.22719457643851,8.619979232962,908396.313754037,NA,3
stemarea,app,0.120182115502818,0.0488043593599214,0.00973444519049338,NA,0.69415733988593,0.854751784361727,0.0035700296572549,NA,-1.42375606216158,9.9747273802313,38.9573261568434,NA,4
stemarea,app,0.101169695823866,0.0423726741382681,0.0053328133502763,NA,0.642056588374072,0.64867369678472,1.00000000869583e-09,NA,-1.52040860547274,13.0207393168306,3005878.80845553,NA,5
stemarea,app,0.053639240605857,0.0250140204345705,0.0179862275796523,NA,0.46168360254427,0.391349411744579,0.00167445835873011,NA,-1.25381396117668,22.4312549149722,150.30156711108,NA,6
stemarea,app,0.200438070217985,0.125829057977643,0.000105363718255445,NA,0.936076378033896,1.55271318377067,1e-09,NA,-1.54827843036331,3.8120796533237,10779096.0159927,NA,7
stemarea,app,2.70003158739689,7.28708599601355e-06,7.77448478691683e-09,NA,0.984067815612729,0.332130075980394,2.4922226894275e-09,NA,-1.95973704861222,4.63203448958959e-273,8.47160525248774e-274,NA,8
stemarea,app,0.181401531221449,0.0161264416966833,6.88146604673087e-05,NA,1.05082010470021,3.53366037615962,1e-09,NA,-1.33621994975318,88.9495482083176,-0.00351741774141738,NA,9
stemarea,app,2.30440987991583,0.000262895937370586,9.91903124217005e-08,NA,0.0410021257594229,0.0317697385414396,1.47776351990681e-09,NA,-2.77711622810004,0,0,NA,10
