trait,simmap,disc.trait,alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4
stemarea,1,app,0.0826304286373677,0.0826304286374042,0.0826304286362212,0.0826304286362212,0.557434377356274,0.411846223871162,1.00373476699778e-09,3.73476700075859e-12,-1.81705257154465,4.66807661909181,-1.86318776485813,-1.40209267430853e-22
stemarea,2,app,3.09286745042204e-18,2.07553916835765e-18,1.00630006734437e-18,1.00630004920916e-18,0.827616897949434,0.202272186312667,1.00000001558493e-09,1.40649188009923e-17,-5.16652907979761e-17,3.87873580395147e-16,-2.57261841168459e-18,-2.73916945247977e-22
stemarea,3,app,0.0555098395260157,0.0538671263061552,0.047104911482051,0.0471049100560861,0.475840358924256,0.348887252301542,0.100799085762667,0.0543306208108531,-1.43947962604439,7.03638737311178,1399711.89934202,-5.71588548672363e-07
stemarea,4,app,0.0716625290137,0.0682629966147483,0.0617837847585098,0.0617837846419016,0.773675457725828,0.474348212630482,0.0714212185485054,0.0684285355247381,-1.4852474959084,4.85717200627475,-0.818558383079987,-1.47563178540743e-05
stemarea,5,app,8.79993872480657,3.77674415580972e-07,1.32719557932344e-07,0,5.64277308890384e-06,5.64277308890384e-06,5.64277308890384e-06,5.64277308890384e-06,-2.65759706692272,0,0,0
stemarea,6,app,0.0626141778467913,0.0626141778467913,0.0626141778467913,0.0626141778467913,0.541240012974487,0.292622488868985,1.00000000032578e-09,3.25782692553342e-19,-1.87642804238435,6.67084683948123,-0.15831792586903,-8.38331738840771e-28
stemarea,7,app,0.0568574516437481,0.0535326258677193,0.0547483947673101,0.053532625529294,0.483881059729769,0.125475101774324,0.345559154463405,0.0559750070047013,-1.22738542530453,-262814.841001383,7.33172990231663,-2.77270913609486e-06
stemarea,8,app,0.0534363030317266,0.0534363030317266,0.0534363030317266,0.0534363030317266,0.578920767878661,0.205636338047029,1e-09,7.82505359297985e-26,-1.62144633852363,8.82450748914633,-0.33217289862363,-1.31657370350777e-32
stemarea,9,app,0.032995747864992,0.0329084456517328,0.0327787685211815,0.0327787684923136,0.54010518873959,0.215156431123945,0.00460808882346553,0.00169776611704983,-1.44181182190899,13.6415072201256,-2837.09097061051,-7.26866834421233e-11
stemarea,10,app,0.0401151049871003,0.0400182481252332,0.0397429233314711,0.0397429233279529,0.494219410526764,0.247586757026311,0.00482328477124099,0.0017765177505475,-1.79454140616152,10.2350483753444,-2.65925112026143,-5.97639119094919e-11
stemarea,11,app,0.12563641363485,0.130477403296713,0.00478730547384255,0.00478730435622644,0.539892739201165,0.52828634674978,0.529481456355115,0.519886958497951,-1.35397084716366,4.7879375587571,0.020772717572846,-5.5305159106706e-07
