trait,simmap,disc.trait,alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4
stemarea,1,app,3.6083897574997,0.0180352668949233,0.373536339631944,0,1.18014064677998e-09,1.18014064677998e-09,1.18014064677998e-09,1.18014064677998e-09,-0.23294196601046,-1.49143606397724e-17,-9.0513350279407e-14,0
stemarea,2,app,1.30874141904286,1.4829661611298,2.24536085246851e-09,7.45187207987937e-42,3.16325891014329,3.16325891014329,3.16325891014329,3.16325891014329,-1.53488088811594,2.73927822573098,-1.20479394805819e-13,-2.50013823519339e-61
stemarea,3,app,0.0587221501345098,0.0587221501345098,0.0587221501345098,0.0587221501345098,0.53757573977083,0.404303453820397,1e-09,1.30067476052552e-24,-1.84433538416624,5.37627264419368,-2.64162717084386,-3.10267372894817e-29
stemarea,4,app,0.0553561104018013,0.0553561104018013,0.0553561104018013,0.0553561104018013,0.583223973000699,0.441341757946151,1.00000000004905e-09,4.90501328693013e-20,-1.58056907088971,4.6996566116416,-0.105853095426478,-6.25201481969505e-23
stemarea,5,app,0.0847384478705774,0.0847384478705774,0.0847384478705774,0.0847384478705774,0.695621176527562,0.428688033963268,1e-09,1.22821473866258e-25,-1.65210478425041,4.62453697021389,0.375654200942533,-4.28039487911912e-30
stemarea,6,app,4.2538487585189,0.00155315211891102,0.0368299634103783,0,0.326854573357189,0.326854573357189,0.326854573357189,0.326854573357189,-2.86239395249692,0,0,0
stemarea,7,app,0.0710260693188907,0.0693013832768034,0.0664415738434118,0.0617762477918019,0.464034130804402,0.417103848980274,0.277120771499374,0.234354715333834,-1.54559705032144,5.27086701744429,-0.687084841068153,-9.90567934315779e-06
stemarea,8,app,0.0986824136881652,0.0646386432376701,0.0129439524309405,0.0129439515779328,0.639756942603167,0.627575766947266,0.573799377148263,0.558343591280548,-1.1739532447873,5.31938785858427,-0.358181272734329,-0.000132848515860133
stemarea,9,app,0.12269628692075,0.122696286920749,0.122696286920744,0.122696286920744,0.70743099317141,0.587577354852295,1.00002473256091e-09,2.47325609416493e-14,-1.34633691837507,3.34882550380966,-4.05936662638612,-9.06646156336172e-22
stemarea,10,app,2.71965271415997,0.000804369073288011,0.0102635668076505,0,1.06114281015454e-07,1.06114281015454e-07,1.06114281015454e-07,1.06114281015454e-07,-2.50403218855565,0,0,0
stemarea,11,app,0.0310281513811262,0.0310281513811262,0.0310281513811262,0.0310281513811262,0.45204073729195,0.346747711230989,1e-09,1.25925182012719e-24,-1.44888434893349,10.9003519844451,0.112579269097439,-5.77046378207073e-29
stemarea,12,app,0.0706807373665847,0.0681127656742347,0.0643586807173665,0.0643586805921684,0.648246149687084,0.346153793869343,0.0966690961275381,0.0443438815627254,-1.25209265039364,6.78344901625374,-1.0949176219439,-2.67542707348832e-06
stemarea,13,app,2.92325326773108,1.09721841734594e-07,0.109303148259181,0,2.03821832035984e-05,2.03821832035984e-05,2.03821832035984e-05,2.03821832035984e-05,-3.10295349060953,1.72678085984459e-18,6.81237970243389e-14,0
stemarea,14,app,0.0531989290489606,0.0531989290489606,0.0531989290489606,0.0531989290489606,0.514319076193136,0.35040529654669,1e-09,2.96039908906813e-24,-1.16671335434742,8.01155998857889,-0.772355542972522,-1.32108973446764e-29
stemarea,15,app,0.0596405755600268,0.0581400327279962,0.0562756029833128,0.0562756025635836,0.519968104719911,0.380899664020097,0.0375346405789756,0.0223378924995698,-1.13615759450406,7.22186390821179,-157322.533148197,-5.89711730844661e-08
stemarea,16,app,0.0406770165492288,0.0406770165492288,0.0406770165492288,0.0406770165492288,0.486174305196724,0.39240744117688,1.00000000011835e-09,1.18348342870072e-19,-1.30576412645807,6.19861220950645,-3.07319517643335,-1.4656539225872e-23
stemarea,17,app,0.0679283050136199,0.0679007397947761,0.0678696747064067,0.0678696746965326,0.579472555727876,0.301737276912648,0.00591649837320805,0.000323964645090592,-1.56880800606422,6.61010607890918,12542.9823007556,-2.20281042949936e-11
stemarea,18,app,0.0325541858808025,0.0325541858808025,0.0325541858808025,0.0325541858808025,0.472452379688116,0.344487451623917,1e-09,3.54759588470077e-25,-1.67341870960504,9.85778431895315,1.15356866467762,-4.30355988511401e-28
stemarea,19,app,2.81503155611744,1.61897452233897e-07,0.00582971800907505,0,1.39199228651371e-09,1.39199228651371e-09,1.39199228651371e-09,1.39199228651371e-09,-3.09478227596346,0,0,0
stemarea,20,app,0.070447052261278,0.0684305261791982,0.0618917407332302,0.0618917406486515,0.538477881915245,0.463352206704648,0.0553406721656059,0.0426344882638905,-1.27347646191385,5.82123163683908,-2.00985078217371,-8.17748986385277e-08
stemarea,21,app,0.0592057400777772,0.0592057400777772,0.0592057400777772,0.0592057400777772,0.514425690379647,0.453193525779651,1e-09,2.84794979265347e-25,-1.66313099767278,4.7102262298732,0.706799619630692,-3.79713043392428e-29
