alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4,trait,simmap,tree,disc.trait
5.21167924394297,5.21167184662038,5.2116719444712,5.21163485729183,1.72994825483432,1.72642211965731,1.7255530450626,1.71858266600943,0.0027626379652976,-0.0202627225050855,-0.00574592211734507,-0.00350642469712514,stemarea,1,1,app
2.91763781334587,2.91763099030914,2.91762809685162,2.91757864146362,0.97428302040296,0.971251028936991,0.971323537579013,0.964508497530788,-0.00249345127728347,-0.0182509077711268,0.000227540164050218,-0.00360009396243361,stemarea,2,1,app
3.5604550255157,3.56028236288097,3.56035413389394,3.55939501577516,1.1865761426335,1.18133185621397,1.18228959491841,1.17312193758753,0.00262080626916673,-0.0053712275501338,-0.0217312174691628,-0.00348052981774693,stemarea,3,1,app
3.14394298134864,3.14393553826467,3.14393372060419,3.14388818453078,1.04952982811954,1.04433467809223,1.04332115398961,1.03403148150537,0.00297193059529496,-0.0211756677436577,-0.00554601501299686,-0.00348647867937907,stemarea,4,1,app
5.21505228054976,5.21503947647216,5.21503969250057,5.21496614343133,1.73115190070307,1.72775734578158,1.72721638442368,1.72068042971941,0.00239970973874993,-0.0201328165563706,-0.00553907489175585,-0.00351968120142144,stemarea,5,1,app
2.86941501258417,2.86941135648417,2.86941177282927,2.86939115010612,0.959328827722329,0.952258974715226,0.953197912859436,0.941194803550942,0.00404563483566369,-0.00401244499187818,-0.0279123651425077,-0.00339897552290352,stemarea,6,1,app
3.06164353257559,3.06161781484361,3.06157935722427,3.0611587979266,1.02263752426378,1.01758066206533,1.01624920027812,1.00564118147479,0.00378202440234466,-0.0214370513576236,-0.0063273728627737,-0.00346848669986426,stemarea,7,1,app
5.11624680352226,5.11623931235044,5.11624014946313,5.11619396075192,1.69989849721707,1.69530221002954,1.69563375854655,1.6874762787508,0.00252489925876136,-0.00647687347574187,-0.0182755009803274,-0.00353698337881493,stemarea,8,1,app
2.87875167860474,2.8787490378695,2.87874977597989,2.87873635943245,0.961489311531438,0.956117653826206,0.955610872185986,0.945337491068519,0.00573410467467177,-0.0262124355934307,-0.00524389114013174,-0.00337968474277953,stemarea,9,1,app
5.21746733627947,5.21745716395356,5.21746153169061,5.2174037518885,1.73209507029485,1.72767526498612,1.72855871711515,1.72042446145554,0.0024425236113464,-0.00565955983072049,-0.0204641649781692,-0.00351214661801574,stemarea,10,1,app
0.715444095164789,0.715405090554303,0.715401612804738,0.715128550867568,0.0696573134116289,0.0694355888124393,0.0695396100957987,0.0688435903096015,-0.0176559023084138,-0.0187978171857268,-0.0191034538736299,-0.0163398941782829,leafarea,1,1,app
0.71503372801442,0.715016076774635,0.715005822550853,0.714867169791138,0.0696167578873402,0.0693981779648711,0.069508246208295,0.068797873822773,-0.0179177598685976,-0.0195457651207949,-0.0184633301755565,-0.0163733880552295,leafarea,2,1,app
0.714464351076423,0.714378641663682,0.714435134946613,0.713857856118601,0.0695672913256988,0.0694571165536159,0.069336729231738,0.0687446906832542,-0.017642848417634,-0.0190572494870376,-0.0188360698537211,-0.0163307527741535,leafarea,3,1,app
3.92932677960044,0.0014242803802917,0.365652164077252,0,0.00272020108187423,0.00272020108187423,0.00272020108187423,0.00272020108187423,0.0959170196054761,0,0,0,leafarea,4,1,app
